title,company,job_post_id,company_info,address,employment_type,seniority,min_experience,job_category,has_company_logo,salary,salary_type,num_of_applications,last_posted_date,expiry_date,description
Digital Portfolio Planner (Financial / Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0692082,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc","NOVELTY BIZCENTRE, 18 HOWARD ROAD 369585","Permanent, Full Time, Flexi-work",Executive,3 years exp,"Banking and Finance, Sales / Retail",1,"['$3,500to$4,000']",Monthly,0 application,Posted 11 Sep 2023,Closing on 11 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!

Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg

Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Financial Planner,ARISE & THRIVE OFFICIAL PARTNERS PTE. LTD.,MCF-2023-0691017,"Ato Management is involved in 4 Business Sectors respectively being, F&B, Events and Marketing, HR and Finance We are a team of highly motivated and vibrate young individuals determined to create a dynamic working enviroment and a fufilling personal life. We are determined to promote the best interest for prospective cilents and to build and enhance our productive teams.We strive to create and to make an impact in not just meeting cilents expectations but surpassing them. This career path provide you opportunities for self-upgrading and improvement through practice in leadership management, team building, social and marketing events.Our company aim to build stong teams where we offer annual incentives trips for outstanding performance.","SBF building, 160 robinson rd 068914",Permanent,Executive,,"Banking and Finance, Consulting, Customer Service, Insurance",1,"['$3,000to$5,000']",Monthly,0 application,Posted 10 Sep 2023,Closing on 10 Oct 2023,"Roles & Responsibilities
Hiring Financial Planner.

Jobscope:
Build Comprehensive financial plans.
Educate Clients and answer questions about investment options and potential risks.
Analyze financial information
Prepare and revise financial reports/plans for clients
Interact with the investment team to understand strategies, risks, and portfolios positioning.
Generate new client opportunities through networking, referrals, and other sourcing strategies."
Financial Planner (Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0690361,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc",,"Permanent, Full Time, Flexi-work",Non-executive,1 year exp,"Banking and Finance, Sales / Retail",1,"['$3,000to$4,000']",Monthly,0 application,Posted 09 Sep 2023,Closing on 09 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!
Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg
Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Digital Portfolio Planner (Financial / Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0690351,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc","NOVELTY BIZCENTRE, 18 HOWARD ROAD 369585","Permanent, Full Time, Flexi-work",Executive,3 years exp,"Banking and Finance, Sales / Retail",1,"['$3,500to$4,000']",Monthly,0 application,Posted 09 Sep 2023,Closing on 09 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!

Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg

Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Digital Portfolio Planner (Financial / Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0687167,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc","NOVELTY BIZCENTRE, 18 HOWARD ROAD 369585","Permanent, Full Time, Flexi-work",Executive,3 years exp,"Banking and Finance, Sales / Retail",1,"['$3,500to$4,000']",Monthly,0 application,Posted 08 Sep 2023,Closing on 08 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!

Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg

Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Financial Planner,ARISE & THRIVE OFFICIAL PARTNERS PTE. LTD.,MCF-2023-0685141,"Ato Management is involved in 4 Business Sectors respectively being, F&B, Events and Marketing, HR and Finance We are a team of highly motivated and vibrate young individuals determined to create a dynamic working enviroment and a fufilling personal life. We are determined to promote the best interest for prospective cilents and to build and enhance our productive teams.We strive to create and to make an impact in not just meeting cilents expectations but surpassing them. This career path provide you opportunities for self-upgrading and improvement through practice in leadership management, team building, social and marketing events.Our company aim to build stong teams where we offer annual incentives trips for outstanding performance.","SBF building, 160 robinson rd 068914",Permanent,Executive,,"Banking and Finance, Consulting, Customer Service, Insurance",1,"['$3,000to$5,000']",Monthly,0 application,Posted 07 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Hiring Financial Planner.

Jobscope:
Build Comprehensive financial plans.
Educate Clients and answer questions about investment options and potential risks.
Analyze financial information
Prepare and revise financial reports/plans for clients
Interact with the investment team to understand strategies, risks, and portfolios positioning.
Generate new client opportunities through networking, referrals, and other sourcing strategies."
Digital Portfolio Planner (Financial / Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0684152,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc","NOVELTY BIZCENTRE, 18 HOWARD ROAD 369585","Permanent, Full Time, Flexi-work",Executive,3 years exp,"Banking and Finance, Sales / Retail",1,"['$3,500to$4,000']",Monthly,0 application,Posted 07 Sep 2023,Closing on 07 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!

Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg

Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Financial Planner,ARISE & THRIVE OFFICIAL PARTNERS PTE. LTD.,MCF-2023-0677444,"Ato Management is involved in 4 Business Sectors respectively being, F&B, Events and Marketing, HR and Finance We are a team of highly motivated and vibrate young individuals determined to create a dynamic working enviroment and a fufilling personal life. We are determined to promote the best interest for prospective cilents and to build and enhance our productive teams.We strive to create and to make an impact in not just meeting cilents expectations but surpassing them. This career path provide you opportunities for self-upgrading and improvement through practice in leadership management, team building, social and marketing events.Our company aim to build stong teams where we offer annual incentives trips for outstanding performance.","SBF building, 160 robinson rd 068914",Permanent,Executive,,"Banking and Finance, Consulting, Customer Service, Insurance",1,"['$3,000to$5,000']",Monthly,0 application,Posted 05 Sep 2023,Closing on 05 Oct 2023,"Roles & Responsibilities
Hiring Financial Planner.

Jobscope:
Build Comprehensive financial plans.
Educate Clients and answer questions about investment options and potential risks.
Analyze financial information
Prepare and revise financial reports/plans for clients
Interact with the investment team to understand strategies, risks, and portfolios positioning.
Generate new client opportunities through networking, referrals, and other sourcing strategies."
Financial Para-Planner,GLOBAL FINANCIAL CONSULTANTS PTE. LTD.,MCF-2023-0676257,"Global Financial Consultants (GFC) is one of Singapore’s most venerable and longest established wealth management and financial advisory businesses. Based in the heart of the financial district of Singapore, GFC is focused on providing a tailored and client-centric approach to help safeguard our clients’ financial future whilst guiding them on the path to achieve their personal financial goals and objectives. Our MAS regulated Financial Advisors pride themselves on providing professional and unbiased financial advice that helps our clients create and protect their wealth.","FAR EAST FINANCE BUILDING, 14 ROBINSON ROAD 048545","Permanent, Full Time",Executive,2 years exp,Admin / Secretarial,1,"['$3,000to$4,500']",Monthly,1 application,Posted 05 Sep 2023,Closing on 05 Oct 2023,"Roles & Responsibilities
Global Financial Consultants (GFC) is one of Singapore’s most venerable and longest established wealth management and financial advisory businesses. Based in the heart of the financial district of Singapore, GFC is focused on providing a tailored and client-centric approach to help safeguard our clients’ financial future whilst guiding them on the path to achieve their personal financial goals and objectives. Our MAS regulated Financial Advisors pride themselves on providing professional and unbiased financial advice that helps our clients create and protect their wealth.

Due to our consistent expansion of business, we are keen to hire a new Financial Paraplanner to join our team. This is mainly an administrative role that will require a proficient and enthusiastic individual. You will be working alongside our Financial Advisors to provide support in the day to day tasks of Financial Planning and to liaise with clients. In return, we can offer you unparalleled career path potential, valuable training and experience in the world of financial services in a lively professional working environment.

There will be a PA element to the role including arranging follow ups, general administration and preparing client reports and documentation for meetings. The ideal candidate will therefore need to be meticulous and detail-oriented ensuring that there are no oversights. We are looking for people who are driven and have displayed an active interest in the financial services sector. This will be an opportunity for the right candidate to learn a great deal about the industry and grow and expand quickly.

Why GFC?:

- Training & Support Provided – We ensure that you’re given opportunities to succeed
- Career Advancement Opportunities
- Quarterly Team-Building Initiatives
- Close-Knit Environment
- Opportunity to work with a diverse team

Responsibilities will include (but not subject to):

- Preparing client review pack and providers documents and others
- Preparing new business sign up pack
- Preparing statement of advice for existing clients / prospects
- Preparing Pension sign up pack
- Book review meeting for existing clients
- Process and checking of new business application/paperwork to make sure everything is in order before handing over to compliance for their checking
- Email clients outstanding requirements request from providers or forward to Adviser to follow up with client accordingly
- Process client new business or top-up to send over to providers for processing
- Follow up with providers for a status when required by Advisers via email or phone
- Check Advisers calendar daily to make sure there are meeting rooms being booked
- Scan in all confirmation/correspondence letters from providers to clients folder
- Frequently check incoming emails for Adviser/providers requests or queries
- Chase providers for new business on the pipeline for the respective Advisers you are working for
- Submission of monthly spreadsheets to ensure maintainance of client details/status in CRM system
- Any other general administrative work and other various ad hoc duties

Key Requirements:

· 2+ years of industry-related financial para-planner experience preferred
· Proficient in English both verbal and written
· Detailed and accurate
· Excellent communication and presentation skills
· Good time management
· Excellent interpersonal management skills
· Ability to prioritise and manage own workload without supervision


GFC is an equal opportunity employer and we value diversity at our company. We do not discriminate against employees based on race, color, religion, sex, national origin, age, disability or genetic information.

We regret to inform that only shortlisted candidates will be contacted."
Financial Planner (Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0676579,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc",,"Permanent, Full Time, Flexi-work",Non-executive,1 year exp,"Banking and Finance, Sales / Retail",1,"['$3,000to$4,000']",Monthly,0 application,Posted 05 Sep 2023,Closing on 05 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!
Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg
Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Digital Portfolio Planner (Financial / Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0676585,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc","NOVELTY BIZCENTRE, 18 HOWARD ROAD 369585","Permanent, Full Time, Flexi-work",Executive,3 years exp,"Banking and Finance, Sales / Retail",1,"['$3,500to$4,000']",Monthly,0 application,Posted 05 Sep 2023,Closing on 05 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!

Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg

Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
Financial Planner,HSBC LIFE (SINGAPORE) PTE. LTD.,MCF-2023-0588467,"HSBC in Singapore offers a comprehensive range of banking and financial services including retail banking and wealth management; commercial, investment and private banking; insurance; forfaiting and trustee services; securities and capital markets services. One of the earliest banks to establish in Singapore, HSBC today is a prominent player in Singapore’s financial services sector serving the international banking needs of multinational corporations, home-grown businesses, private banking clients, institutional and retail customers. HSBC Singapore serves as the leading international bank for ASEAN, an international wealth and regional wholesale hub, regional centre of excellence for sustainability, while being a sandbox for digital innovation experiments for the Group. If you are looking for a career where you can make a real impression, join HSBC and discover an international banking career. Whether you want a career that could take you to the top, or simply take you in an exciting new direction, HSBC offers opportunities, support and rewards that will take you further. HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment.","South Beach Tower, Level 2 38 Beach Road 189767",Full Time,Executive,,"Banking and Finance, Insurance",1,"['$3,500to$7,000']",Monthly,5 applications,Posted 04 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Principal Responsibilities
· Evaluate and determine the financial goals and current financial situation for clients
· Develop customized solutions to help meet these clients’ needs
· Establish and maintain good relationships with existing and new clients
· Maintain proper recording and documentation of the needs based advisory process
· Provide excellent ‘before and after’ sales service

Requirements
· Candidates with Sales or Marketing experience and / or with industry certifications are preferred
· Candidates with relevant experience is preferred but not required to be considered for this role
· Excellent communicator with great interpersonal skills
· Committed, self-driven, and armed with a positive mindset
· Minimum full certificate in GCE ""A"" Levels or equivalent

Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.

Email Address: actnow@hsbc.com.sg"
Senior Financial Planner,HSBC LIFE (SINGAPORE) PTE. LTD.,MCF-2023-0588470,"HSBC in Singapore offers a comprehensive range of banking and financial services including retail banking and wealth management; commercial, investment and private banking; insurance; forfaiting and trustee services; securities and capital markets services. One of the earliest banks to establish in Singapore, HSBC today is a prominent player in Singapore’s financial services sector serving the international banking needs of multinational corporations, home-grown businesses, private banking clients, institutional and retail customers. HSBC Singapore serves as the leading international bank for ASEAN, an international wealth and regional wholesale hub, regional centre of excellence for sustainability, while being a sandbox for digital innovation experiments for the Group. If you are looking for a career where you can make a real impression, join HSBC and discover an international banking career. Whether you want a career that could take you to the top, or simply take you in an exciting new direction, HSBC offers opportunities, support and rewards that will take you further. HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment.","South Beach Tower, Level 2 38 Beach Road 189767",Full Time,Senior Executive,2 years exp,"Banking and Finance, Insurance",1,"['$5,000to$10,000']",Monthly,2 applications,Posted 04 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Principal Responsibilities
· Evaluate and determine the financial goals and current financial situation for clients
· Develop customized solutions to help meet these clients’ needs
· Establish and maintain good relationships with existing and new clients
· Maintain proper recording and documentation of the needs based advisory process
· Provide excellent ‘before and after’ sales service

Requirements
· Candidates with Sales or Marketing experience and / or with industry certifications are preferred
· Candidates with relevant experience is preferred but not required to be considered for this role
· Excellent communicator with great interpersonal skills
· Committed, self-driven, and armed with a positive mindset
· Minimum full certificate in GCE ""A"" Levels or equivalent

Interested candidates who wish to apply for the advertised position, please click APPLY NOW or email an updated copy of your resume/cv.
We regret that only shortlisted candidate will be notified.

Email Address: actnow@hsbc.com.sg"
Financial Planner (Warm Leads ONLY / Salary up to $4k + Performance Bonus) - Code: GL,JUST RECRUIT SINGAPORE PTE. LTD.,MCF-2023-0673644,"JUST RECRUIT SINGAPORE PTE. LTD. Just Recruit Singapore Pte Ltd is a human resource solution company that is incorporated in Singapore. We specialize in local and foreign placement. As we have counterparts in Malaysia, China, Taiwan, India, Vietnam & Korea and other parts of Asia, this make our networks very extensive and reliable. Our comprehensive range of services include temporary & contract staffing, permanent recruitment, outsourcing, executive search, leadership development, career management & outplacement services. Just Recruit Singapore Specialization: Semiconductor / Electrical & Electronics-Design, Testing, Development Engineers, Sales & Sales support etc. Oil & Gas/Petroleum –Process, Project, QC Chemical/ Petrochemicals-Sales, Engineers Banking & Finance – Accounts, Audit, Financial Consultant IT – Security Audit, Software/App Developer, Analyst, DBA Manufacturing- Production, Facility, Sales, Customer Service Building- QS, QC/QA, Piping Design, Architecture Logistics- Supply Chain, Sales, Backend Support Healthcare- Lab Assistants, R & D, Nurse, Dental Assistant(Foreign only) FMCG- Sales & Marketing, Customer Service, Facility, Product Dev. Retail –Retail Assistant, Area Manager Industry Specific Office Support roles: HR (all spectrum), Admin, Customer Service etc",,"Permanent, Full Time, Flexi-work",Non-executive,1 year exp,"Banking and Finance, Sales / Retail",1,"['$3,000to$4,000']",Monthly,0 application,Posted 04 Sep 2023,Closing on 04 Oct 2023,"Roles & Responsibilities
Opportunity to work with a well-known Financial Institution with excellent career progression!
Job Details:
Basic salary up to $4K + $500 Fixed Monthly Allowance + PB (Up to 16% of basic salary)
Location: Central
Working Days & Hours: Monday to Friday, 9am to 6pm
Warm leads will be provided via digital referral (No cold-calling)
Job Responsibilities:
Provide consultative financial advisory services (Life, Health and General Insurance) to warm referral clients
Maintaining good relationships with both existing and potential clients
Job Requirements:
Min a Local Diploma or Degree in any discipline.
Preferable with at least 2 years of experience in financial services or advisory
Preferable candidate already has CMFAS - M5, M8, M8A, M9, M9A, HI, CGI, PGI & BCP
Interested candidates can kindly apply via MyCareersFuture or email your latest resume to Gary.lua@justrecruit.com.sg
Gary Lua Zhi Hao (R21104006)
Just Recruit Singapore Pte Ltd (EA12C6295)"
