job_post_id,title,address,department,salary_range,company_profile,description,requirement,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,min_experience,company,industry,salary_type
MCF-2023-03038,Financial Consultant,"14 Collyer Quay, #16-00, Singapore 049318",Finance,10000-13000,InvestmentPros is a financial advisory firm specializing in investment strategies. Join our team as an Investment Strategist to provide expert investment guidance and support client financial goals.,InvestmentPros is seeking an experienced Financial Consultant to provide financial guidance and investment advice to clients. Your expertise will shape financial success stories.,"Bachelor's degree in Finance or related field, professional finance qualification (e.g., CFA), financial advisory experience","Attractive salary, performance bonuses, opportunities for career advancement",1,0,1,Full-time,Entry level,,InvestmentPros,Psychology,Monthly
MCF-2023-03039,Counseling Psychologist (Part-Time),"1 Tanglin Road, #05-01, Orchard Parade Hotel, Singapore 247905",Psychology,3500-4500,MindCare Co. is a psychology center that provides compassionate counseling services. Join our team as a Counseling Psychologist and make a positive impact on individuals' mental well-being.,MindCare Co. is in search of a Counseling Psychologist (Part-Time) to provide counseling services and support mental well-being. Your compassionate approach will make a difference in individuals' lives.,"Master's degree in Psychology, counseling license, 5+ years of counseling experience, empathy and active listening skills","Attractive part-time compensation, flexible hours, supportive counseling environment",0,1,1,Part-time,Mid-Senior level,5 years,MindCare Co.,Information Technology,Hourly
MCF-2023-03040,AI Research Scientist (Full-Time),"101 Thomson Road, #15-01/03, United Square, Singapore 307591",Artificial Intelligence,8500-11000,AI Innovators is a technology company focused on cutting-edge AI projects. Join our team as an AI Research Scientist to work on innovative AI projects and contribute to AI excellence.,AI Innovators is hiring an AI Research Scientist (Full-Time) to work on cutting-edge AI projects. Your contributions will advance AI innovation and drive technological progress.,"Ph.D. in Computer Science or related field, research experience in AI, programming skills in Python","Competitive salary, involvement in cutting-edge AI projects, professional development",1,1,1,Full-time,Mid-Senior level,7 years,AI Innovators,Information Technology,Monthly
MCF-2023-03001,Digital Marketing Manager,"3 Raffles Place, #07-01, Singapore 048617",Marketing,5000-7000,"XYZ Marketing Solutions is a leading marketing agency in Singapore, specializing in digital marketing strategies. We are dedicated to driving business growth through innovative marketing campaigns and creative solutions. Join our team of marketing experts and be a part of our success story.","As a Digital Marketing Manager at XYZ Marketing Solutions, you will lead digital marketing campaigns, analyze data, and develop strategies to drive online engagement and sales. You will collaborate with a dynamic team of marketers to achieve success in the digital landscape.",Bachelor's degree in Marketing or related field,Competitive salary and performance-based bonuses,1,0,0,Full Time,5 years exp,3 years,XYZ Marketing Solutions,Marketing,Monthly
MCF-2023-03002,Software Developer - Python,"1 Fusionopolis Walk, #01-01, North Tower, Singapore 138628",Engineering,6000-8000,TechGenius is a tech startup that focuses on developing cutting-edge software solutions. We believe in pushing the boundaries of technology and delivering top-notch software products. Join our team of developers and shape the future of software development.,"TechGenius is seeking a Software Developer with expertise in Python to join our software development team. You will be responsible for designing, coding, and testing software applications that meet client requirements. Join us in shaping the future of software development.",Strong data analysis skills,Flexible working hours,1,0,0,Contract,3 years exp,2 years,TechGenius,Technology,Monthly
MCF-2023-03003,Senior Financial Analyst,"8 Marina View, #08-01 Asia Square Tower 1, Singapore 018960",Finance,8000-10000,FinanceWise Ltd. is a financial advisory firm known for its expertise in financial analysis and planning. Our mission is to help clients achieve financial success and security. Join our team of financial analysts and be a part of our commitment to financial excellence.,Join FinanceWise as a Senior Financial Analyst and play a pivotal role in financial planning and analysis. You will provide insights to support strategic decision-making and financial management. Your analytical skills will drive financial excellence.,HR certification preferred,Professional development opportunities,0,0,0,Permanent,8 years exp,5 years,FinanceWise Ltd.,Finance,Monthly
MCF-2023-03004,Content Writer (Part-Time),"6 Eu Tong Sen Street, #10-12, Singapore 059817",Content Creation,2500-3500,MediaMasters Co. is a media agency that specializes in content creation and storytelling. We thrive on creativity and aim to tell compelling stories that resonate with audiences. Join our team of content creators and unleash your creative potential.,MediaMasters Co. is looking for a talented Content Writer (Part-Time) to create compelling content for various media platforms. Your creativity and storytelling skills will engage audiences and convey impactful messages.,,,0,1,0,Part Time,,,MediaMasters Co.,Media,Hourly
MCF-2023-03005,Supply Chain Manager,"21 Tampines North Drive 2, #01-01, Singapore 528765",Supply Chain,7000-9000,LogiTech Solutions is a logistics company that offers end-to-end supply chain solutions. We are dedicated to optimizing supply chains and ensuring efficient logistics operations. Join our team of supply chain experts and be a part of our logistics revolution.,"LogiTech Solutions is hiring a Supply Chain Manager to optimize supply chain operations. You will oversee logistics, inventory management, and vendor relationships. Join us in revolutionizing supply chain management.",Experience in supply chain management,Opportunity for career growth,0,0,1,Full Time,7 years exp,4 years,LogiTech Solutions,Logistics,Monthly
MCF-2023-03006,Research Scientist (Contract),"11 Biopolis Way, #01-01, Helios, Singapore 138667",Research and Development,5500-7500,HealthCare Innovators is a healthcare research organization that focuses on medical breakthroughs. Our researchers are passionate about advancing healthcare knowledge and improving patient outcomes. Join our team of researchers and make a difference in healthcare.,"Are you a Research Scientist looking for a contract opportunity? HealthCare Innovators has a role for you. Join our research team to conduct experiments, analyze data, and contribute to healthcare advancements.",Ph.D. in a relevant field,Engaging research projects,1,0,0,Contract,Ph.D. required,Ph.D. level,HealthCare Innovators,Healthcare,Hourly
MCF-2023-03007,HR Director,"20 Anson Road, #08-01, Twenty Anson, Singapore 079912",Human Resources,12000-15000,HR Excellence Group is a human resources consultancy known for its HR expertise. We provide strategic HR solutions that drive organizational success. Join our team of HR professionals and be a part of our commitment to HR excellence.,"HR Excellence Group is in search of an HR Director with extensive HR expertise. You will lead HR strategies, manage HR teams, and drive HR initiatives. Join us in shaping the future of HR excellence.",10+ years of HR experience,Comprehensive HR benefits,1,0,0,Permanent,12 years exp,8 years,HR Excellence Group,Human Resources,Monthly
MCF-2023-03008,UX/UI Designer (Full-Time),"10 Bayfront Avenue, #01-01, The Shoppes at Marina Bay Sands, Singapore 018956",Design,6000-9000,DesignCrafters is a design studio that specializes in creating user-centered designs. We believe in the power of design to enhance user experiences. Join our team of designers and shape the future of UX/UI design.,DesignCrafters is seeking a UX/UI Designer (Full-Time) to create user-centered designs. Your design skills will enhance user experiences across digital platforms. Join our team and be part of the design revolution.,Proven track record in UX/UI design,Creative work environment,1,0,0,Full Time,5 years exp,3 years,DesignCrafters,Design,Monthly
MCF-2023-03009,Event Coordinator (Part-Time),"101 Thomson Road, #03-01, United Square, Singapore 307591",Event Management,3000-4000,EventMagic Co. is an event management company that creates memorable experiences. We are dedicated to planning and executing extraordinary events that leave lasting impressions. Join our team of event planners and contribute to unforgettable moments.,EventMagic Co. is hiring an Event Coordinator (Part-Time) to plan and execute memorable events. Your attention to detail and creativity will contribute to unforgettable experiences for clients and attendees.,,,1,0,1,Part Time,,,EventMagic Co.,Event Management,Hourly
MCF-2023-03010,Quality Assurance Manager,"18 Jalan Besar, #02-01, Singapore 208882",Quality Assurance,8000-10000,QualityFirst Ltd. is a quality assurance company that ensures product excellence. We are committed to maintaining high product quality standards. Join our team of quality assurance experts and be a part of our quality-driven culture.,QualityFirst Ltd. is looking for a Quality Assurance Manager to maintain high product quality standards. You will oversee quality control processes and lead a team of QA professionals. Join us in ensuring product excellence.,Experience in quality control,Quality control training,1,1,1,Contract,6 years exp,4 years,QualityFirst Ltd.,Quality Assurance,Monthly
MCF-2023-03011,Nurse Practitioner,"9 Bishan Place, #02-01, Junction 8 Shopping Centre, Singapore 579837",Healthcare,9000-12000,HealthCare Professionals is a healthcare organization that provides top-quality patient care. Our healthcare teams are dedicated to making a positive impact on healthcare. Join our team of healthcare professionals and prioritize patient well-being.,HealthCare Professionals is seeking a Nurse Practitioner to provide top-quality patient care. Your expertise will make a positive impact on healthcare outcomes. Join our healthcare team and prioritize patient well-being.,Registered Nurse license,Healthcare benefits,0,0,0,Full Time,2 years exp,1 year,HealthCare Professionals,Healthcare,Monthly
MCF-2023-03012,Social Media Specialist (Full-Time),"1 Paya Lebar Link, #03-07, PLQ Mall, Singapore 408533",Social Media,5000-7000,MediaMasters Co. is a media agency specializing in social media strategies. Join our team as a Social Media Strategist to create engaging social media content and connect with online communities. We encourage creativity and innovation in digital marketing.,Join MediaMasters Co. as a Social Media Specialist (Full-Time) to create engaging social media content and connect with online communities. Your innovative strategies will drive digital marketing success.,Experience in social media management,Social media career advancement,1,0,1,Part Time,5 years exp,3 years,MediaMasters Co.,Media,Hourly
MCF-2023-03013,Data Scientist (Contract),"8 Shenton Way, #04-01, AXA Tower, Singapore 068811",Data Science,7000-10000,TechGenius Innovations is a technology company known for user-friendly interfaces. Join our team as a UX/UI Designer to create intuitive designs and shape user experiences in the digital world. We support continuous learning and design excellence.,TechGenius Innovations is hiring a Data Scientist (Contract) to analyze data and extract insights. Your work will contribute to data-driven decision-making. Join us in data science excellence.,Experience in data analysis,Data analysis projects,0,1,0,Contract,3 years exp,2 years,TechGenius Innovations,Technology,Monthly
MCF-2023-03014,Finance Director,"30 Cecil Street, #19-08, Prudential Tower, Singapore 049712",Finance,10000-13000,FinancePros Ltd. is a financial consultancy firm offering comprehensive financial services. Join our team of financial experts to provide financial guidance and support to clients. We value financial expertise and professional growth.,FinancePros Ltd. is in search of a Finance Director to provide comprehensive financial services. Your financial expertise will guide clients toward financial success. Join us in financial excellence.,Finance-related degree,Financial expertise and career growth,0,0,1,Full Time,8 years exp,6 years,FinancePros Ltd.,Finance,Monthly
MCF-2023-03015,IT Support Technician (Part-Time),"61 Stamford Road, #01-01, Stamford Court, Singapore 178892",IT Support,3000-4000,ITSupport Solutions is an IT services provider specializing in technical support. Join our team as an IT Support Technician to resolve technical issues and provide excellent customer service. We offer opportunities for technical skill development.,ITSupport Solutions is seeking an IT Support Technician (Part-Time) to resolve technical issues and provide exceptional customer service. Your technical skills will be instrumental in solving IT challenges.,IT certification preferred,Technical skill development,1,0,1,Part Time,2 years exp,1 year,ITSupport Solutions,Information Technology,Hourly
MCF-2023-03016,Clinical Researcher (Contract),"1 Raffles Place, #07-01, One Raffles Place, Singapore 048616",Clinical Research,6000-9000,HealthCare Research Innovations is a healthcare research organization dedicated to advancing medical knowledge. Join our team as a Clinical Researcher to contribute to meaningful healthcare research. We encourage research excellence.,HealthCare Research Innovations has an opening for a Clinical Researcher (Contract) to contribute to meaningful healthcare research. Your research efforts will advance medical knowledge and improve patient care.,Clinical research experience,Contribute to healthcare research,0,1,1,Contract,Ph.D. required,Ph.D. level,HealthCare Research Innovations,Healthcare,Hourly
MCF-2023-03017,Executive Chef,"5 Straits View, #05-01, Marina One, Singapore 018935",Culinary,15000-18000,Culinary Delights is a renowned restaurant known for its culinary creativity and exquisite dishes. Join our team as an Executive Chef to showcase your culinary skills and create delightful dining experiences. We celebrate culinary excellence.,Culinary Delights is looking for an Executive Chef to lead the culinary team and create exquisite dishes. Your culinary creativity will delight diners and elevate the dining experience.,Culinary degree or equivalent,Culinary creativity and recognition,0,0,1,Full Time,15 years exp,10 years,Culinary Delights,Culinary,Monthly
MCF-2023-03018,Investment Advisor,"20 Collyer Quay, #23-01, Tung Centre, Singapore 049319",Finance,9000-12000,InvestmentPros is a financial advisory firm specializing in investment strategies. Join our team as an Investment Advisor to provide expert investment guidance to clients. We value investment expertise and offer career advancement prospects.,InvestmentPros is hiring an Investment Advisor to provide expert investment guidance to clients. Your financial expertise will help clients achieve their investment goals. Join us in investment success.,Finance or investment certification required,Investment expertise and career advancement,0,0,0,Part Time,7 years exp,5 years,InvestmentPros,Finance,Monthly
MCF-2023-03019,Psychologist (Part-Time),"168 Robinson Road, #22-01, Capital Tower, Singapore 068912",Psychology,3000-4000,PsychologyCare Co. is a psychology center that provides compassionate counseling services. Join our team as a Psychologist to support individuals in their mental well-being journey. We prioritize a supportive and compassionate counseling environment.,PsychologyCare Co. is seeking a Psychologist (Part-Time) to provide compassionate counseling services. Your support will make a positive impact on individuals' mental well-being. Join our team in promoting mental health.,,,1,1,1,Contract,,,PsychologyCare Co.,Psychology,Hourly
MCF-2023-03020,Machine Learning Engineer (Full-Time),"10 Scotts Road, #01-01, Pacific Plaza, Singapore 228211",Machine Learning,8000-10000,TechInnovations is a technology company focused on innovative tech projects. Join our team as a Machine Learning Engineer to work on cutting-edge machine learning projects. We foster innovation and technical excellence.,TechInnovations is looking for a Machine Learning Engineer (Full-Time) to work on cutting-edge machine learning projects. Your technical expertise will drive innovation in machine learning.,Ph.D. in Machine Learning or related field,Cutting-edge machine learning projects,1,1,0,Full Time,4 years exp,3 years,TechInnovations,Technology,Monthly
MCF-2023-03021,Blockchain Developer,"3 Church Street, #12-01, Samsung Hub, Singapore 049483",Blockchain Development,8000-10000,TechVanguard Solutions is a technology company specializing in blockchain solutions. We are at the forefront of blockchain development and aim to revolutionize industries with our innovations. Join our team of blockchain experts and shape the future of digital transactions.,TechVanguard Solutions is seeking a Blockchain Developer to design and implement blockchain solutions. Your expertise will shape the future of secure and transparent transactions.,Bachelor's degree in Computer Science,Competitive salary and performance-based bonuses,0,1,1,Full Time,5 years exp,,TechVanguard Solutions Pte. Ltd.,Technology,Monthly
MCF-2023-03022,Artificial Intelligence Researcher,"10 Science Park Road, #02-14, The Alpha, Singapore 117684",AI Research,9000-12000,AI Innovations is a research-focused organization dedicated to advancing artificial intelligence. Our researchers are passionate about pushing the boundaries of AI technology. Join our team of AI enthusiasts and contribute to groundbreaking research.,AI Innovations is looking for an Artificial Intelligence Researcher to conduct advanced AI research. Your work will contribute to breakthroughs in artificial intelligence.,Ph.D. in Artificial Intelligence,Flexible work hours and remote work options,0,0,1,Contract,Ph.D. required,,AI Innovations Pte. Ltd.,Technology,Monthly
MCF-2023-03023,Legal Counsel,"1 Raffles Quay, #28-01, North Tower, Singapore 048583",Legal,10000-13000,LegalEdge LLP is a law firm known for its legal expertise. We provide comprehensive legal counsel to clients across various sectors. Join our team of legal professionals and be part of our commitment to legal excellence.,Join LegalEdge LLP as a Legal Counsel and provide legal advice to clients. Your legal expertise will play a pivotal role in resolving complex legal matters.,Legal qualification and practicing certificate,Opportunity for research collaboration,0,0,0,Permanent,Legal experience required,,LegalEdge LLP,Legal,Monthly
MCF-2023-03024,Environmental Scientist (Part-Time),"9 Changi South Street 3, #04-01, Singapore 486361",Environmental Science,3000-4000,EcoSolutions Research is dedicated to environmental research and conservation. Join our team as a part-time Environmental Scientist to contribute to impactful environmental projects while pursuing your studies or other interests.,EcoSolutions Research is hiring a part-time Environmental Scientist to conduct field research and contribute to environmental conservation efforts. Pursue your studies or other interests alongside meaningful work.,Bachelor's degree in Environmental Science,Work on impactful environmental projects,1,0,1,Part Time,,,EcoSolutions Research Pte. Ltd.,Environmental Science,Monthly
MCF-2023-03025,Sales Manager,"8 Marina View, #11-01, Asia Square Tower 1, Singapore 018960",Sales,12000-15000,Global Sales Hub is a dynamic sales organization that drives business growth. Join us as a Sales Manager to lead a high-performing sales team and achieve sales targets. Your sales expertise will fuel our success.,Global Sales Hub is in search of a Sales Manager to lead a high-performing sales team. Your leadership will drive business growth and success in the sales industry.,5+ years of sales experience,Attractive commission structure,1,0,1,Full Time,7 years exp,,Global Sales Hub Pte. Ltd.,Sales,Monthly
MCF-2023-03026,Financial Advisor (Contract),"20 Anson Road, #10-01, Twenty Anson, Singapore 079912",Finance,7000-9000,Financial Geniuses Ltd. is a financial advisory firm known for its expertise in financial planning. Join our team as a Financial Advisor on a contract basis and provide financial guidance to clients.,Financial Geniuses Ltd. is seeking a Financial Advisor on a contract basis to provide financial planning services. Your financial expertise will guide clients toward financial security.,"Financial certification (e.g., CFA)",Contract-based compensation,0,0,1,Contract,Financial advisory experience required,,Financial Geniuses Ltd.,Finance,Monthly
MCF-2023-03027,Creative Director,"15 Scotts Road, #04-08, Thong Teck Building, Singapore 228218",Creative,15000-18000,ArtUniverse Creations is a creative agency that specializes in arts and design. We believe in the power of creativity to inspire. Join our team as a Creative Director and lead innovative design projects.,ArtUniverse Creations is looking for a Creative Director to lead innovative design projects. Your creativity will inspire artistic excellence and drive design innovation.,Proven track record in creative leadership,Creative and collaborative work environment,0,0,1,Permanent,10+ years exp,,ArtUniverse Creations Pte. Ltd.,Creative,Monthly
MCF-2023-03028,UI/UX Designer (Full-Time),"50 Raffles Place, #29-01, Singapore Land Tower, Singapore 048623",Design,8000-12000,DesignCrafters is a design studio that specializes in user-centered design. Join us as a UI/UX Designer on a full-time basis to create intuitive designs and enhance user experiences.,Join DesignCrafters as a UI/UX Designer on a full-time basis to create user-centered designs. Your designs will enhance user experiences across digital platforms.,Strong design portfolio,Opportunity for career growth,1,0,1,Full Time,3 years exp,,DesignCrafters Pte. Ltd.,Design,Monthly
MCF-2023-03029,Fashion Designer (Part-Time),"7 Temasek Boulevard, #12-07, Suntec Tower One, Singapore 038987",Fashion,3500-5000,FashionForward Creations is a fashion design studio that thrives on creativity. Join our team as a part-time Fashion Designer to showcase your fashion sense and create stylish clothing.,FashionForward Creations is hiring a part-time Fashion Designer to create stylish clothing. Showcase your fashion sense and contribute to the world of fashion.,Degree in Fashion Design,Flexible part-time schedule,1,1,1,Part Time,,,FashionForward Creations Pte. Ltd.,Fashion,Monthly
MCF-2023-03030,Big Data Engineer,"1 Fusionopolis Place, #08-11, Galaxis, Singapore 138522",Big Data,10000-15000,DataTech Innovations is a technology company focused on big data solutions. Join us as a Big Data Engineer and work on cutting-edge data projects. Your technical skills will drive data innovation.,DataTech Innovations is in search of a Big Data Engineer to work on cutting-edge data projects. Your technical skills will drive innovation in data analytics.,Bachelor's degree in Computer Science,Work on cutting-edge data projects,0,1,1,Contract,5 years exp,,DataTech Innovations Pte. Ltd.,Technology,Monthly
MCF-2023-03031,Clinical Psychologist,"19 Tanglin Road, #05-01, Tanglin Shopping Centre, Singapore 247909",Psychology,9000-12000,MindMatters Psychology Clinic is a psychology center committed to mental health. Join our team as a Clinical Psychologist and support individuals in their mental well-being journey.,MindMatters Psychology Clinic is seeking a Clinical Psychologist to support individuals in their mental well-being journey. Your compassionate counseling will make a positive impact on mental health.,Ph.D. in Clinical Psychology,Supportive counseling environment,1,0,1,Full Time,2 years exp,,MindMatters Psychology Clinic Pte. Ltd.,Healthcare,Monthly
MCF-2023-03032,Art Curator (Full-Time),"1000 Dover Road, #05-01, Dover Court International School, Singapore 139657",Arts,6000-9000,ArtMasters Gallery is a renowned art gallery known for its extensive art collection. Join us as an Art Curator on a full-time basis and curate exceptional art exhibitions.,ArtMasters Gallery is looking for an Art Curator on a full-time basis to curate exceptional art exhibitions. Your curation will showcase the beauty of art to the world.,Proven experience in art curation,Contribute to art and culture,0,1,1,Part Time,5 years exp,,ArtMasters Gallery Pte. Ltd.,Arts,Monthly
MCF-2023-03033,Project Manager (Contract),"20 Pasir Panjang Road, #10-25, Mapletree Business City, Singapore 117439",Project Management,11000-14000,ProjectPro Ltd. is a project management consultancy that offers project solutions. Join us as a Project Manager on a contract basis and lead strategic projects to success.,ProjectPro Ltd. is hiring a Project Manager on a contract basis to lead strategic projects. Your project management skills will drive project success.,PMP certification,Project-based compensation,0,1,0,Contract,3 years exp,,ProjectPro Ltd.,Project Management,Monthly
MCF-2023-03034,AI Ethics Consultant,"6 Shenton Way, #14-01, OUE Downtown 2, Singapore 068809",Ethics,8000-10000,EthicsTech Consult is an ethics consultancy specializing in AI ethics. Join us as an AI Ethics Consultant to ensure responsible AI development and deployment.,EthicsTech Consult is seeking an AI Ethics Consultant to ensure responsible AI development and deployment. Your ethical expertise will shape the AI landscape.,Ethics expertise and AI background,Shape responsible AI development,0,0,0,Full Time,8 years exp,,EthicsTech Consult Pte. Ltd.,Ethics,Monthly
MCF-2023-03035,Chief Marketing Officer,"15A Hoe Chiang Road, #10-01, Tower Fifteen, Singapore 089316",Marketing,15000-20000,MarketingPros International is a global marketing agency with a strong presence in Singapore. Join us as a Chief Marketing Officer and lead marketing strategies on a regional scale.,MarketingPros International is looking for a Chief Marketing Officer to lead regional marketing strategies. Your marketing leadership will drive business growth on a global scale.,10+ years of marketing experience,Leadership role in a dynamic industry,0,0,1,Part Time,2 years exp,,MarketingPros International Pte. Ltd.,Marketing,Monthly
MCF-2023-03036,Biomedical Engineer,"8 Marina View, #07-04, Asia Square Tower 1, Singapore 018960",Biomedical Engineering,9000-12000,BioTech Innovations is a biomedical engineering company focused on medical innovations. Join us as a Biomedical Engineer and work on cutting-edge biomedical projects. Your engineering skills will contribute to healthcare advancements.,BioTech Innovations is hiring a Biomedical Engineer to work on cutting-edge biomedical projects. Your engineering skills will contribute to healthcare advancements and medical innovations.,Degree in Biomedical Engineering,Contribute to healthcare advancements,0,0,0,Contract,Ethics background required,,BioTech Innovations Pte. Ltd.,Biomedical Engineering,Monthly
MCF-2023-03037,Music Teacher (Part-Time),"1 Biopolis Drive, #09-01, Amnios Building, Singapore 138622",Music Education,7000-9000,Harmony Music Academy is a renowned music academy known for its music education programs. Join us as a part-time Music Teacher and inspire the next generation of musicians.,Harmony Music Academy is in search of a part-time Music Teacher to inspire the next generation of musicians. Your teaching will nurture musical talents.,Music teaching qualification,Inspire young musicians,1,0,0,Full Time,10 years exp,,Harmony Music Academy Pte. Ltd.,Education,Monthly
MCF-2023-03038,Cybersecurity Specialist,"25 Music Academy Road, #03-05, Symphony Place, Singapore 238302",Cybersecurity,10000-13000,CyberGuard Technologies is a cybersecurity firm dedicated to protecting digital assets. Join us as a Cybersecurity Specialist and help safeguard critical information from cyber threats.,CyberGuard Technologies is seeking a Cybersecurity Specialist to protect digital assets from cyber threats. Your cybersecurity expertise will safeguard critical information.,"Cybersecurity certification (e.g., CISSP)",Cybersecurity training and development,1,0,1,Part Time,2 years exp,,CyberGuard Technologies Pte. Ltd.,Cybersecurity,Monthly
MCF-2023-03039,Sustainable Architect,"9 Battery Road, #15-01, MYP Centre, Singapore 049910",Architecture,8500-11000,EcoArchitects Ltd. is an architecture firm specializing in sustainable design. Join us as a Sustainable Architect and contribute to eco-friendly architectural projects.,EcoArchitects Ltd. is looking for a Sustainable Architect to contribute to eco-friendly architectural projects. Your sustainable designs will shape the future of architecture.,Sustainable architecture portfolio,Promote sustainable architecture,1,0,0,Contract,,,EcoArchitects Ltd.,Architecture,Monthly
MCF-2023-03040,Wildlife Conservationist (Full-Time),"31 Newton Road, #15-01, Goldbell Towers, Singapore 307987",Conservation,5000-7000,WildlifeWatchers Foundation is a conservation organization dedicated to wildlife protection. Join us as a Wildlife Conservationist on a full-time basis and make a meaningful impact on wildlife preservation.,WildlifeWatchers Foundation is hiring a Wildlife Conservationist on a full-time basis to make a meaningful impact on wildlife preservation. Your conservation efforts will protect wildlife for generations to come.,Passion for wildlife conservation,Make a difference in wildlife conservation,1,1,0,Full Time,7 years exp,,WildlifeWatchers Foundation Pte. Ltd.,Conservation,Monthly
SG-JP-2023-01,Digital Marketing Specialist (Full-Time),"15A Hoe Chiang Road, #03-01, Singapore 089316",Marketing,6000-8000,TechVanguard Solutions is a tech startup specializing in cutting-edge software development. We're committed to pushing the boundaries of technology. Join our team of developers and be part of our innovation journey.,"As a Digital Marketing Specialist at TechVanguard Solutions, you will drive digital marketing strategies, analyze data, and optimize online campaigns. Join our team and be part of the digital revolution.",Bachelor's degree in Marketing or related field,Competitive salary and performance-based bonuses,1,0,1,Full Time,5 years exp,,TechVanguard Solutions Pte. Ltd.,Technology,Monthly
SG-JP-2023-02,Blockchain Developer (Contract),"8 Burn Road, #15-13, Trivex, Singapore 369977",Engineering,8000-10000,"CryptoTech Innovations is a blockchain development company, creating decentralized solutions for the future. Join us as a Blockchain Developer to work on groundbreaking projects.","CryptoTech Innovations is seeking a Blockchain Developer for a contract role. You'll develop blockchain solutions, ensuring security and scalability. Join us to shape the blockchain future.",Experience in blockchain development,Flexible working hours,1,1,1,Contract,3 years exp,,CryptoTech Innovations Pte. Ltd.,Blockchain,Monthly
SG-JP-2023-03,Creative Director (Full-Time),"31 Ubi Road 1, #01-01, Singapore 408694",Creative,10000-15000,"DesignGenius Studio is a creative agency passionate about design and innovation. As a Creative Director, you'll lead our creative team to shape inspiring campaigns and designs.",DesignGenius Studio is looking for a Creative Director to lead our creative team. You'll set the creative vision and oversee design projects. Join us to create stunning visuals.,10+ years of creative design experience,Professional development opportunities,0,0,1,Full Time,10 years exp,,DesignGenius Studio Pte. Ltd.,Creative,Monthly
SG-JP-2023-04,Legal Associate (Part-Time),"18 Robinson Road, #06-01, Singapore 048547",Legal,4000-6000,LegalEdge LLP is a law firm offering expert legal services. Join us as a Legal Associate to assist in legal matters and contribute to our clients' success.,"LegalEdge LLP is hiring a part-time Legal Associate. You'll assist in legal research, document preparation, and client interactions. Join our legal team and gain valuable experience.",Legal degree or certification,Part-time work option,1,1,0,Part Time,Legal exp,,LegalEdge LLP,Legal,Monthly
SG-JP-2023-05,Environmental Scientist (Full-Time),"1 Cluny Road, Singapore Botanic Gardens, Singapore 259569",Environmental Science,7000-9000,EcoSolutions Research focuses on environmental conservation. Join our team as an Environmental Scientist and work on projects dedicated to preserving our planet.,"Join EcoSolutions Research as an Environmental Scientist to conduct fieldwork, research, and data analysis. Your work will contribute to environmental conservation.",Degree in Environmental Science,Contribution to environmental conservation,1,0,0,Full Time,2 years exp,,EcoSolutions Research Pte. Ltd.,Environmental,Monthly
SG-JP-2023-06,Sales Manager (Full-Time),"6 Shenton Way, OUE Downtown 2, #13-01, Singapore 068809",Sales,8000-12000,SalesPro Inc. is a dynamic sales organization. Join us as a Sales Manager to lead our sales team and drive revenue growth.,SalesPro Inc. is in search of a Sales Manager to lead and motivate our sales team. You'll develop sales strategies and drive revenue growth. Join us to excel in sales leadership.,5+ years of sales management experience,Attractive sales commissions,1,0,0,Full Time,7 years exp,,SalesPro Inc. Pte. Ltd.,Sales,Monthly
SG-JP-2023-07,Financial Analyst (Full-Time),"20 Cecil Street, #10-01, Equity Plaza, Singapore 049705",Finance,9000-11000,FinanceWise Ltd. is a financial advisory firm known for its expertise in financial analysis and planning. Join our team of financial analysts and help clients achieve financial success.,FinanceWise Ltd. is seeking a Financial Analyst to provide financial insights and analysis. You'll help clients make informed financial decisions. Join us to enhance financial futures.,Finance-related degree and analytical skills,Healthcare and retirement benefits,1,0,1,Full Time,5 years exp,,FinanceWise Ltd.,Finance,Monthly
SG-JP-2023-08,UX/UI Designer (Contract),"12 Marina View, Asia Square Tower 2, #23-01, Singapore 018961",Design,7000-9000,"DesignCrafters Studio is an innovative design company. As a UX/UI Designer, you'll shape user experiences across digital platforms and create visually appealing designs.",DesignCrafters Studio is hiring a UX/UI Designer for a contract role. You'll design user-friendly interfaces and create visually appealing graphics. Join us for creative design opportunities.,UI/UX design certification,Contract-based compensation,0,1,1,Contract,UI/UX design exp,,DesignCrafters Studio Pte. Ltd.,Design,Monthly
SG-JP-2023-09,Fashion Designer (Full-Time),"28 Orchard Road, #08-01, Singapore 238832",Design,7000-10000,FashionTrendz Ltd. is a fashion brand with a commitment to style. Join us as a Fashion Designer to create trendy clothing collections.,FashionTrendz Ltd. is looking for a talented Fashion Designer to create fashion-forward collections. You'll be at the forefront of fashion innovation. Join us to redefine style.,Fashion design degree and portfolio,Fashion studio discounts,1,1,0,Full Time,Fashion design exp,,FashionTrendz Ltd.,Fashion,Monthly
SG-JP-2023-010,Big Data Engineer (Full-Time),"9 Tampines Avenue 2, #04-01, Tampines Plaza, Singapore 529731",Engineering,10000-13000,DataTech Solutions pioneers Big Data solutions. Join us as a Big Data Engineer to work on data-driven projects and unleash your technical expertise.,DataTech Solutions is seeking a Big Data Engineer to work on data projects using cutting-edge technologies. Join us to unlock the potential of big data.,Big Data engineering experience,Cutting-edge tech projects,0,1,1,Full Time,5 years exp,,DataTech Solutions Pte. Ltd.,Technology,Monthly
